Order ID,Customer Name,Date,Region,Category,Product,Quantity,Price,Sales,Email
1335,Rahul Roy,2026-03-18,East,Furniture,Table,1,4500,4500,rahul.roy@gmail.com
1919,Puja Sen,2026-01-29,SOUTH,Furniture,Sofa,3,18000,54000,puja.sen@gmail.com
1087,Ankit Sen,2026-02-14,West,Furniture,Table,2,4500,9000,ankit.sen@gmail.com
1333,Puja Singh,2026-02-11,East,Electronics,Mobile,8,25000,200000,puja.singh@gmail.com
1744,Vikash Paul,2026-03-06,North,Clothing,Jacket,5,2500,12500,vikash.paul@gmail.com
1451,Abhishek Paul,2026-01-07,South,Food,Rice,1,60,60,abhishek.paul@gmail.com
1469,Sneha Roy,2026-05-31,East,Clothing,Jacket,2,2500,5000,sneha.roy@gmail.com
1306,Riya Sen,2026/01/16,East,Furniture,Sofa,5,18000,90000,riya.sen@gmail.com
1031,Vikash Sharma,2026-05-28,East,Clothing,Shirt,2,1200,2400,vikash.sharma@gmail.com
1559,Priya Dutta,,North,Food,Tea,10,250,2500,priya.dutta@gmail.com
1406,Ravi Das,2026-01-03,west,Electronics,Laptop,8,55000,440000,ravi.das@gmail.com
1055, Meena Banerjee ,2026-06-15,South,Electronics,Monitor,9,12000,108000,meena.banerjee@gmail.com
1024,Amit Das,2026/02/27,East,Stationery,Pencil,6,10,60,amit.das@gmail.com
1762,Tanya Sharma,2026-06-15,South,Clothing,Jacket,10,2500,25000,tanya.sharma@gmail.com
1482,Neha Singh,2026-03-27,east,Electronics,Headphones,3,1800,5400,neha.singh@gmail.com
1004,Ananya Das,2026-04-29,South,Electronics,Monitor,3,,36000,ananya.das@gmail.com
1232,Vikash Kumar,2026-04-07,West,Stationery,Marker,-1,40,360,vikash.kumar@gmail.com
1356,Arjun Paul,2026-01-30,SOUTH,Clothing,Shirt,10,1200,,arjun.paul@gmail.com
1674,Meena Ghosh,2026-03-23,South,Clothing,Jacket,2,2500,5000,meena.ghosh@gmail.com
1757,Ravi Sharma,2026-01-18,North,Clothing,Jeans,2,1800,,ravi.sharma@gmail.com
1844,Rohit Das,2026-06-14,West,Furniture,Desk,3,6000,18000,
1668,Sneha Banerjee,2026-03-01,West,Stationery,Marker,9,40,360,sneha.banerjee@gmail.com
1216,Ravi Roy,2026-05-03,East,Clothing,Jacket,5,2500,12500,ravi.roy@gmail.com
1635,Ankit Banerjee,2026-04-09,East,Food,Oil,3,150,450,
1319,Sneha Singh,2026-04-18,West,Electronics,Tablet,3,30000,90000,sneha.singh@gmail.com
1987,Ananya Kumar,2026-05-03,West,Furniture,desk,5,6000,30000,ananya.kumar@gmail.com
1353, Sayan Das ,2026/05/29,North,Electronics,Tablet,10,30000,300000,sayan.das@gmail.com
1716,Abhishek Roy,2026-04-09,south,Furniture,Desk,8,6000,48000, abhishek.roy@gmail.com 
1395,Karan Sharma,2026-01-31,South,Electronics,Tablet,-3,30000,300000,karan.sharma@gmail.com
1199,Ravi Singh,2026-01-25,North,Stationery,Pencil,8,,80,ravi.singh@gmail.com
1595,Tanya Dutta,2026/01/27,north,Clothing,Shirt,8,1200,9600,tanya.dutta@gmail.com
1864, Puja Singh ,2026-01-12,East,Stationery,Notebook,4,80,320,puja.singh@gmail.com
1925,Ravi Sen,2026-06-04,West,Stationery,Pen,9,20,180,ravi.sen@gmail.com
1040,Ananya Das,2026-03-10,south,Clothing,Jacket,2,2500,5000,ananya.das@gmail.com
1791,Sneha Singh,2026-01-22,east,Stationery,File,9,35,315,
1315,Tanya Banerjee,2026-06-10,North,Electronics,Monitor,3,12000,36000,tanya.banerjee@gmail.com
1762,Tanya Sharma,2026-06-15,South,Clothing,Jacket,10,2500,25000,tanya.sharma@gmail.com
1581,Neha Roy,invalid-date,North,Stationery,Notebook,4,80,320,neha.roy@gmail.com
1067,Priya Paul,2026-04-28,North,Food,Rice,-3,60,420,priya.paul@gmail.com
1718,Amit Ghosh,2026-06-05,West,Electronics,Tablet,2,30000,60000,
1068,Sneha Das,2026-05-31,WEST,Food,Rice,7,60,420,sneha.das@gmail.com
1295,Puja Dutta,2026-06-19,South,Furniture,Desk,7,6000,,puja.dutta@gmail.com
1922,Sayan Das,invalid-date,South,Electronics,Headphones,8,1800,14400,sayan.das@gmail.com
1465,Rahul Das,2026-01-12,East,Stationery,Pen,7,20,140,rahul.das@gmail.com
1108, Rohit Ghosh ,2026-05-25,North,Electronics,Monitor,8,12000,96000,rohit.ghosh@gmail.com
1630,Moumita Paul,2026-02-11,South,Electronics,Tablet,1,,30000,moumita.paul@gmail.com
1577,Priya Paul,2026-06-26,NORTH,Furniture,Chair,3,1800,5400,priya.paul@gmail.com
1255,Moumita Kumar,2026-01-19,north,Furniture,Sofa,1,18000,18000,moumita.kumar@gmail.com
1724,Sneha Kumar,2026-03-12,West,Stationery,File,6,35,210,
1930,Sayan Sen,2026-01-16,East,Food,Oil,6,,900,sayan.sen@gmail.com
1540, Tanya Kumar ,2026-04-28,East,Food,sugar,5,55,275,tanya.kumar@gmail.com
1916,Ravi Das,2026-01-03,North,Food,Sugar,10,55,550,ravi.das@gmail.com
1526, Karan Banerjee ,2026-04-12,East,Food,sugar,7,55,385,karan.banerjee@gmail.com
1544,Ankit Ghosh,2026-05-09,East,Electronics,Laptop,5,55000,275000,ankit.ghosh@gmail.com
1755,Moumita Ghosh,2026-06-15,South,Food,Oil,4,150,600,moumita.ghosh@gmail.com
1101, Sayan Ghosh ,2026-03-16,South,Stationery,Pencil,7,10,70,sayan.ghosh@gmail.com
1089, Amit Roy ,2026-06-14,East,Furniture,Desk,10,6000,60000,amit.roy@gmail.com
1064,Ankit Banerjee,2026/01/18,West,Food,Rice,3,60,180,ankit.banerjee@gmail.com
1849,Sayan Singh,2026-02-06,North,Clothing,Shirt,2,1200,2400,sayan.singh@gmail.com
1894, Vikash Sharma ,2026-01-30,North,Electronics,Tablet,6,30000,180000,
1140,Priya Kumar,2026-06-29,South,Electronics,Mobile,7,25000,175000,priya.kumar@gmail.com
1604,Rahul Singh,2026-05-06,West,Food,Rice,10,60,600,rahul.singh@gmail.com
1621,Tanya Paul,2026-03-30,East,Electronics,Mobile,3,25000,75000,tanya.paul@gmail.com
1543,Abhishek Roy,2026-06-09,East, Electronics ,Headphones,3,1800,5400,abhishek.roy@gmail.com
1495,Ankit Ghosh,2026-04-10,South,Electronics,Laptop,3,55000,165000,ankit.ghosh@gmail.com
1590,Rahul Dutta,2026-05-09,North,Clothing,T-Shirt,1,800,800,rahul.dutta@gmail.com
1110,Priya Kumar,2026-02-16,West,Electronics,Laptop,8,55000,440000,priya.kumar@gmail.com
1963,Ananya Paul,2026-05-11,South,Stationery,Pen,2,20,40,ananya.paul@gmail.com
1248,Riya Das,2026-04-08,East,Electronics,Monitor,-4,12000,96000,riya.das@gmail.com
1923,Moumita Paul,2026-01-11,South,Stationery,Notebook,2,80,160,moumita.paul@gmail.com
1698,Moumita Kumar,2026-06-12,East,Furniture,Table,8,4500,36000,moumita.kumar@gmail.com
1487,Ananya Sen,2026-06-16,North,Electronics,Mobile,4,25000,100000,ananya.sen@gmail.com
1137,Amit Banerjee,2026-02-26,North,Furniture,Desk,3,6000,18000,amit.banerjee@gmail.com
1933,Abhishek Dutta,2026-01-26,East,Clothing,Shirt,1,1200,1200,
1689,Karan Sharma,2026-02-18,North,Furniture,Sofa,8,,144000,karan.sharma@gmail.com
1759,Vikash Banerjee,2026-05-05,East,Electronics,Mobile,2,,50000,vikash.banerjee@gmail.com
1159,Ankit Das,2026-04-06,West,Electronics,Laptop,4,55000,220000,ankit.das@gmail.com
1494,Riya Paul,2026-06-03,East,Electronics,Monitor,3,12000,36000,riya.paul@gmail.com
1502,Neha Sen,2026-01-20,North,Food,Tea,-3,250,1000,neha.sen@gmail.com
1683,Sayan Paul,2026-06-28,West,Electronics,Headphones,10,1800,18000,sayan.paul@gmail.com
1974,Abhishek Paul,2026-05-08,East,Food,Biscuits,6,50,300,abhishek.paul@gmail.com
1257,Arjun Banerjee,2026-04-07,South,Furniture,Sofa,10,18000,180000,arjun.banerjee@gmail.com
1735, Karan Singh ,2026-03-10,South,Electronics,Laptop,5,55000,275000,
1858,Neha Sharma,invalid-date,East,Clothing,Shirt,1,1200,1200,neha.sharma@gmail.com
1960,Ravi Dutta,2026-01-20,South,Clothing,jacket,6,2500,15000,ravi.dutta@gmail.com
1618,Sayan Paul,2026-03-19,North,Furniture,Chair,8,1800,14400,sayan.paul@gmail.com
1984,Ravi Das,2026-02-07,South,Clothing,Shirt,10,,12000,ravi.das@gmail.com
1902,Moumita Paul,2026-04-29,South,Stationery,Marker,-3,40,120,moumita.paul@gmail.com
1211, Rahul Singh ,2026-01-10,EAST,Furniture,Chair,3,1800,,rahul.singh@gmail.com
1169,Karan Sharma,2026-03-08,east,Furniture,Chair,1,1800,1800,karan.sharma@gmail.com
1940,Abhishek Roy,2026-02-04,South,Furniture,Sofa,1,18000,,abhishek.roy@gmail.com
1441,Soumya Sharma,2026-02-22,South,Electronics,Headphones,2,1800,3600,soumya.sharma@gmail.com
1372,Rahul Sen,2026-06-18,West,Electronics,Tablet,3,30000,90000,
1546,Sayan Paul,2026-02-05,North, Furniture ,Shelf,3,3500,10500,sayan.paul@gmail.com
1056,Puja Banerjee,2026-04-17,South,Furniture,Sofa,9,18000,162000,puja.banerjee@gmail.com
1121,Sayan Paul,2026-05-22,West,Electronics,Laptop,2,55000,110000,sayan.paul@gmail.com
1617,Puja Roy,2026-04-12,South,Furniture,Chair,5,,9000,puja.roy@gmail.com
1026,Abhishek Roy,2026-04-26,West,Stationery,File,9,35,315,abhishek.roy@gmail.com
1073,Amit Banerjee,2026-03-31,South,Stationery,Pen,6,20,120,amit.banerjee@gmail.com
1533,Tanya Sharma,2026-01-04,South,Clothing,T-Shirt,2,800,1600,tanya.sharma@gmail.com
1045,Ananya Roy,2026-02-18,West,Furniture,Table,8,4500,36000,ananya.roy@gmail.com
1297,Puja Dutta,2026-01-09,East,Clothing,Shoes,5,2200,11000,puja.dutta@gmail.com
1200,Moumita Das,2026-01-31,South,Furniture,Chair,5,1800,9000,moumita.das@gmail.com
1754,Moumita Paul,2026-06-06,South,Furniture,Sofa,5,18000,90000,moumita.paul@gmail.com
1794,Sneha Banerjee,2026-06-01,North,Furniture,Chair,3,1800,5400, sneha.banerjee@gmail.com 
1486,Abhishek Dutta,2026-03-19,East,Stationery,Notebook,9,80,720,abhishek.dutta@gmail.com
1210,Meena Dutta,,North,Electronics,Tablet,4,30000,120000,meena.dutta@gmail.com
1266,Meena Singh,invalid-date,North,Furniture,Shelf,2,3500,,meena.singh@gmail.com
1378, Rahul Sharma ,2026-01-30,West,Electronics,Headphones,9,1800,16200,rahul.sharma@gmail.com
1895,Meena Das,2026-03-23,NORTH,Food,Sugar,1,55,55,meena.das@gmail.com
1789,Meena Roy,,SOUTH,Clothing,Jacket,9,2500,22500,meena.roy@gmail.com
1529,Sayan Sharma,2026-03-28,north,Furniture,Sofa,3,18000,54000,sayan.sharma@gmail.com
1452,Priya Ghosh,2026-03-01,West,Food,Rice,6,60,360,priya.ghosh@gmail.com
1596,Sayan Sharma,2026-01-31,East,Clothing,Shoes,7,2200,15400,sayan.sharma@gmail.com
1746,Abhishek Singh,2026-06-28,East,Stationery,Pencil,1,10,10, abhishek.singh@gmail.com 
1966, Sneha Das ,2026-02-19,East,Furniture,Sofa,3,18000,54000,
1527, Vikash Ghosh ,2026-05-24,South,Food,Oil,8,150,1200,vikash.ghosh@gmail.com
1307, Sneha Singh ,,EAST,Furniture,Table,-4,4500,45000, sneha.singh@gmail.com 
1320,Tanya Singh,2026-01-04,East,Furniture,Table,10,4500,,tanya.singh@gmail.com
1061,Puja Singh,2026-04-16,South,Electronics,Monitor,4,12000,48000,puja.singh@gmail.com
1483,Ankit Banerjee,2026-01-11,North,Furniture,Chair,2,1800,3600,ankit.banerjee@gmail.com
1855,Ankit Kumar,2026-06-06,East,Food,Sugar,5,55,275,ankit.kumar@gmail.com
1616,Meena Dutta,2026-06-06,North,Clothing,Shirt,6,1200,7200,
1542,Ravi Ghosh,,West,Stationery,Pen,5,20,100,ravi.ghosh@gmail.com
1429,Puja Singh,2026-06-04,South,Clothing,Jeans,5,1800,9000,puja.singh@gmail.com
1185, Karan Singh ,2026-05-01,North,Food,Biscuits,10,50,500,karan.singh@gmail.com
1882,Sneha Singh,2026-04-30,West,Electronics,Mobile,3,25000,,sneha.singh@gmail.com
1983,Tanya Roy,2026-02-20,North,Furniture,Shelf,-2,3500,7000,tanya.roy@gmail.com
1600, Riya Sharma ,2026-02-25,South,Stationery,File,4,35,140,riya.sharma@gmail.com
1907,Riya Das,,West,Clothing,Shirt,10,1200,12000,riya.das@gmail.com
1779,Tanya Roy,2026-02-04,North,Clothing,T-Shirt,1,800,800,tanya.roy@gmail.com
1262, Vikash Das ,2026-03-04,South, Clothing ,Jacket,7,2500,17500,vikash.das@gmail.com
1343,Sneha Roy,2026-04-08,East,Stationery,Pen,8,20,160,sneha.roy@gmail.com
1523,Riya Dutta,2026-02-01,east,Stationery,Pencil,1,10,10,riya.dutta@gmail.com
1238,Puja Singh,2026-06-11,South,Furniture,Chair,3,1800,5400,puja.singh@gmail.com
1111,Sneha Roy,2026-05-16,West,Stationery,Pen,6,20,120,sneha.roy@gmail.com
1498,Arjun Sharma,,South,Furniture,Table,4,4500,18000,arjun.sharma@gmail.com
1517,Arjun Dutta,2026-03-10,East,Furniture,Chair,6,,10800,arjun.dutta@gmail.com
1362,Puja Banerjee,2026-04-27,East,Stationery,Notebook,6,80,480, puja.banerjee@gmail.com 
1430,Abhishek Banerjee,2026-01-24,North,Stationery,File,8,35,280,abhishek.banerjee@gmail.com
1974,Abhishek Paul,2026-05-08,East,Food,Biscuits,6,50,300,abhishek.paul@gmail.com
1278,Amit Sharma,2026-04-17,North,Stationery,Marker,6,40,240,amit.sharma@gmail.com
1261,Amit Das,2026-03-16,West,Stationery,Pencil,9,10,90,amit.das@gmail.com
1833,Moumita Sen,2026-04-09,North,Food,Tea,7,250,1750,moumita.sen@gmail.com
1797,Ananya Kumar,2026/01/26,East,Electronics,Monitor,10,12000,120000,ananya.kumar@gmail.com
1645,Soumya Das,2026-03-17,east,Furniture,Sofa,1,18000,18000,soumya.das@gmail.com
1405,Tanya Paul,2026-06-16,North,Clothing,Jacket,9,2500,22500,tanya.paul@gmail.com
1843,Amit Sen,,South,Furniture,Shelf,4,3500,14000,amit.sen@gmail.com
1836,Riya Sharma,2026-03-07,West,Food,Biscuits,10,50,500,riya.sharma@gmail.com
1138, Abhishek Dutta ,2026-04-19,South,Food,Sugar,1,55,55,abhishek.dutta@gmail.com
1535,Riya Kumar,2026-05-02,North,Clothing,T-Shirt,8,800,,riya.kumar@gmail.com
1496,Puja Banerjee,2026-02-05,East,Furniture,Desk,8,6000,48000,puja.banerjee@gmail.com
1245,Ravi Das,2026-05-24,West,Clothing,T-Shirt,9,800,7200,ravi.das@gmail.com
1771,Meena Das,2026-05-10,East,Furniture,Chair,6,,10800,
1531, Priya Sen ,2026-03-19,North,Electronics,Laptop,5,55000,275000,priya.sen@gmail.com
1573,Rohit Dutta,2026-02-25,East,Stationery,Pen,6,20,120,rohit.dutta@gmail.com
1828,Tanya Ghosh,2026-01-25,West, Electronics ,Monitor,9,12000,108000, tanya.ghosh@gmail.com 
1412,Karan Paul,2026-01-25,West,Electronics,Monitor,1,12000,12000,karan.paul@gmail.com
1717,Tanya Roy,2026-03-28,East,Electronics,Laptop,7,55000,385000,tanya.roy@gmail.com
1437, Amit Kumar ,2026-01-12,East,Clothing,Jacket,4,2500,10000,amit.kumar@gmail.com
1860,Sneha Ghosh,2026-02-12,West,Clothing,Shoes,10,2200,22000,sneha.ghosh@gmail.com
1809, Neha Banerjee ,2026-02-23,West,Stationery,File,2,35,70,neha.banerjee@gmail.com
1372,Rahul Sen,2026-06-18,West,Electronics,Tablet,3,30000,90000,
1079,Ankit Dutta,2026-01-29,West,Electronics,Tablet,4,30000,120000,ankit.dutta@gmail.com
1030,Priya Sharma,2026-02-21,South,Food,Oil,2,150,300,priya.sharma@gmail.com
1381,Moumita Dutta,2026-01-10,East,Furniture,Desk,10,6000,60000,moumita.dutta@gmail.com
1281, Sneha Das ,2026-04-16,West,Electronics,Laptop,8,55000,440000,sneha.das@gmail.com
1300,Rohit Sen,,East,Furniture,Chair,3,1800,5400,rohit.sen@gmail.com
1663,Ravi Paul,2026-05-20,North,Stationery,Marker,2,40,80,ravi.paul@gmail.com
1656,Arjun Roy,,North,Food,Rice,3,60,180,arjun.roy@gmail.com
1310, Vikash Das ,2026-04-10,West,Electronics,Mobile,-1,25000,25000,vikash.das@gmail.com
1166,Arjun Banerjee,2026-04-07,South,Stationery,Pencil,6,10,,arjun.banerjee@gmail.com
1579,Ravi Singh,2026-03-24,West,Electronics,Monitor,10,12000,120000,ravi.singh@gmail.com
1179,Sayan Sen,2026-03-03,North,Food,Tea,9,250,2250,sayan.sen@gmail.com
1741,Ravi Paul,2026-06-28,North,Furniture,Chair,7,1800,12600,ravi.paul@gmail.com
1066,Priya Sharma,2026-03-19,South,Clothing,Jacket,10,2500,25000,priya.sharma@gmail.com
1142,Meena Dutta,2026-05-25,South,Food,Biscuits,-2,50,,meena.dutta@gmail.com
1468,Arjun Sen,2026-02-01,East,Furniture,Chair,10,1800,18000,arjun.sen@gmail.com
1389,Ravi Sharma,2026-05-16,East,Stationery,Marker,6,40,240,ravi.sharma@gmail.com
1850,Rohit Paul,2026-05-27,South,Electronics,Mobile,5,25000,125000,rohit.paul@gmail.com
1426,Puja Paul,2026/06/26,West,Food,Biscuits,4,50,200,puja.paul@gmail.com
1334,Rahul Paul,2026-04-17,East,Stationery,File,2,35,70,rahul.paul@gmail.com
1685,Moumita Singh,2026-05-18,South,Electronics,Mobile,4,25000,100000,moumita.singh@gmail.com
1888,Rahul Das,2026-01-09,East,Food,Biscuits,3,50,150,rahul.das@gmail.com
1424,Karan Kumar,,East,Stationery,Marker,1,40,40,karan.kumar@gmail.com
1973,Riya Ghosh,2026-04-04,North,Clothing,Shirt,8,1200,9600,riya.ghosh@gmail.com
1222,Rahul Das,,North,Stationery,pen,7,20,140,
1276,Puja Kumar,invalid-date,East,Clothing,Jeans,1,1800,1800, puja.kumar@gmail.com 
1236, Rohit Singh ,2026-06-26,East,Clothing,Jacket,2,2500,5000,rohit.singh@gmail.com
1328,Tanya Ghosh,2026-01-13,East,Clothing,Shirt,4,1200,4800,tanya.ghosh@gmail.com
1193, Puja Sen ,2026-01-12,North,Food,Biscuits,6,50,300,puja.sen@gmail.com
1530,Ravi Banerjee,2026-01-08,North,Furniture,Desk,2,6000,12000,ravi.banerjee@gmail.com
1050,Ankit Das,2026/06/13,West,Clothing,Jacket,10,2500,25000,ankit.das@gmail.com
1991, Amit Ghosh ,2026-05-02,East,Furniture,Sofa,7,18000,126000,amit.ghosh@gmail.com
1003,Soumya Sen,2026-06-19,North,Stationery,Marker,10,40,400,soumya.sen@gmail.com
1941,Neha Singh,2026-01-24,South,Stationery,Pen,3,,60,neha.singh@gmail.com
1788,Neha Dutta,2026-01-05,West,Furniture,Chair,2,1800,3600,neha.dutta@gmail.com
1927,Arjun Sharma,2026-06-03,North,Clothing,Shirt,7,1200,8400,arjun.sharma@gmail.com
1250,Vikash Singh,2026-04-06,South,Clothing,T-Shirt,1,800,800,vikash.singh@gmail.com
1553,Sayan Sen,2026-04-07,West,Clothing,Shirt,5,1200,6000,sayan.sen@gmail.com
1950,Ravi Das,2026/03/10,east,Electronics,Headphones,10,1800,18000,ravi.das@gmail.com
1175,Rahul Banerjee,2026-01-29,West,Food,Sugar,8,55,440,rahul.banerjee@gmail.com
1095, Neha Ghosh ,2026-04-04,WEST,Electronics,Headphones,3,1800,5400,neha.ghosh@gmail.com
1034, Meena Kumar ,2026-05-23,East,Clothing,Shirt,5,1200,6000,meena.kumar@gmail.com
1260,Arjun Banerjee,,North,Furniture,Desk,2,,12000,arjun.banerjee@gmail.com
1205,Ananya Das,2026-03-02,West,Furniture,Chair,10,1800,18000,ananya.das@gmail.com
1347,Amit Singh,2026-02-15,North,Electronics,Laptop,1,55000,55000,amit.singh@gmail.com
1594,Vikash Das,2026-05-07,North,Stationery,File,-2,35,315,vikash.das@gmail.com
1329,Vikash Roy,2026-03-08,West, Electronics ,Laptop,6,55000,330000,vikash.roy@gmail.com
1078,Amit Ghosh,invalid-date,SOUTH,Food,Oil,7,150,1050,amit.ghosh@gmail.com
1085,Ravi Dutta,,South,Electronics,Laptop,7,55000,385000,ravi.dutta@gmail.com
1679,Ankit Sen,2026-05-18,West,Clothing,Shoes,10,2200,22000,ankit.sen@gmail.com
1083,Sneha Ghosh,2026-04-13,West,Electronics,Tablet,5,30000,150000,sneha.ghosh@gmail.com
1371,Soumya Banerjee,2026-05-15,North,Food,Sugar,10,55,550,soumya.banerjee@gmail.com
1937,Karan Sen,2026-05-05,South,Furniture,Desk,8,6000,48000,karan.sen@gmail.com
1896,Vikash Singh,2026-04-17,North,Electronics,Mobile,8,,200000,vikash.singh@gmail.com
1536,Karan Das,2026-02-15,West,Furniture,Desk,4,,,karan.das@gmail.com
1383,Ravi Singh,2026-06-09,South,Food,Tea,7,250,1750,ravi.singh@gmail.com
1719,Meena Ghosh,2026/04/05,South,Clothing,Shoes,5,2200,11000,meena.ghosh@gmail.com
1299,Karan Kumar,2026-01-10,South,Food,tea,6,250,1500,karan.kumar@gmail.com
1006,Puja Banerjee,2026-04-09,North,Electronics,Mobile,3,25000,75000,
1431,Vikash Sen,2026-06-28,West,Furniture,Desk,3,6000,18000,vikash.sen@gmail.com
1605,Priya Ghosh,2026-05-20,North,Electronics,Laptop,8,55000,440000,priya.ghosh@gmail.com
1098,Priya Banerjee,2026-02-13,West,Stationery,Pencil,4,10,40,priya.banerjee@gmail.com
1287,Karan Kumar,2026-04-23,East,Food,Oil,4,150,600,karan.kumar@gmail.com
1382,Tanya Banerjee,2026-04-25,east,Furniture,Desk,2,6000,12000,tanya.banerjee@gmail.com
1891, Abhishek Sen ,2026-05-11,South,Electronics,Tablet,1,30000,30000,abhishek.sen@gmail.com
